YPT,XPT,ZPT,DENSITY,MO_PCT,CU_PCT,ROCK
8423810,686575,3320,2.47,0.0,0.0,100
8423810,686575,3328,2.47,0.0,0.0,100
8423810,686575,3336,2.47,0.0,0.0,100
8423810,686575,3344,2.47,0.0,0.0,100
8423810,686575,3352,2.47,0.0,0.0,100
8423810,686575,3360,2.47,0.0,0.0,100
8423810,686575,3368,2.47,0.0,0.0,100
8423810,686575,3376,2.47,0.0,0.0,100
8423810,686575,3384,2.47,0.0,0.0,100
8423810,686575,3392,2.47,0.0,0.0,100
8423810,686575,3400,2.47,0.0,0.0,100
8423810,686575,3408,2.47,0.0,0.0,100
8423810,686575,3416,2.47,0.0,0.0,100
8423810,686575,3424,2.47,0.0,0.0,100
8423810,686575,3432,2.47,0.0,0.0,100
8423810,686575,3440,2.47,0.0,0.0,100
8423810,686575,3448,2.47,0.0,0.0,100
8423810,686575,3456,2.47,0.0,0.0,100
8423810,686575,3464,2.47,0.0,0.0,100
8423810,686575,3472,2.47,0.0,0.0,100
8423810,686575,3480,2.47,0.0,0.0,100
8423810,686575,3488,2.47,0.0,0.0,100
8423810,686575,3496,2.47,0.0,0.0,100
8423810,686575,3504,2.47,0.0,0.0,100
8423810,686575,3512,2.47,0.0,0.0,100
8423810,686575,3520,2.47,0.0,0.0,100
8423810,686575,3528,2.47,0.0,0.0,100
8423825,685825,3320,2.47,0.0,0.0,500
8423825,685825,3328,2.47,0.0,0.0,500
8423825,685825,3336,2.47,0.0,0.0,500
8423825,685825,3344,2.47,0.0,0.0,500
8423825,685825,3352,2.31,0.027,0.0,400
8423825,685825,3360,2.31,0.034,0.0,400
8423825,685825,3368,2.31,0.047,0.172,400
8423825,685825,3376,2.31,0.076,0.237,400
8423825,685825,3384,2.31,0.081,0.261,400
8423825,685825,3392,2.31,0.103,0.237,400
8423825,685825,3400,2.31,0.105,0.229,400
8423825,685825,3408,2.31,0.088,0.217,400
8423825,685825,3416,2.31,0.062,0.19,400
8423825,685825,3424,2.31,0.058,0.234,400
8423825,685825,3432,2.43,0.413,0.84,400
8423825,685825,3440,2.43,0.478,1.229,400
8423825,685825,3448,2.43,0.209,1.282,400
8423825,685825,3456,2.43,0.288,1.165,400
8423825,685825,3464,2.43,0.362,1.076,400
8423825,685825,3472,2.43,0.419,0.815,400
8423825,685825,3480,2.43,0.378,0.552,400
8423825,685825,3488,2.31,0.251,0.266,400
8423825,685825,3496,2.31,0.211,0.187,400
8423825,685825,3504,2.31,0.233,0.193,400
8423825,685825,3512,2.31,0.209,0.167,400
8423825,685825,3520,2.31,0.147,0.0,400
8423825,685825,3528,2.31,0.08,0.041,400
8423825,685825,3536,2.31,0.05,0.041,300
8423600,686620,3320,2.47,0.0,0.0,100
8423600,686620,3328,2.47,0.0,0.0,100
8423600,686620,3336,2.47,0.0,0.0,100
8423600,686620,3344,2.47,0.0,0.0,100
8423600,686620,3352,2.47,0.0,0.0,100
8423600,686620,3360,2.47,0.0,0.0,100
8423600,686620,3368,2.47,0.0,0.0,100
8423600,686620,3376,2.47,0.0,0.0,100
8423600,686620,3384,2.47,0.0,0.0,100
8423600,686620,3392,2.47,0.0,0.0,100
8423600,686620,3400,2.47,0.0,0.0,100
8423600,686620,3408,2.47,0.0,0.0,100
8423600,686620,3416,2.47,0.0,0.0,100
8423600,686620,3424,2.47,0.0,0.0,100
8423600,686620,3432,2.47,0.0,0.0,100
8423600,686620,3440,2.47,0.0,0.0,100
8423600,686620,3448,2.47,0.0,0.0,100
8423600,686620,3456,2.47,0.0,0.0,100
8423600,686620,3464,2.47,0.0,0.0,100
8423600,686620,3472,2.47,0.0,0.0,100
8423600,686620,3480,2.47,0.0,0.0,100
8423600,686620,3488,2.47,0.0,0.0,100
8423600,686620,3496,2.47,0.0,0.0,100
8423600,686620,3504,2.47,0.0,0.0,100
8423600,686620,3512,2.47,0.0,0.0,100
8423600,686620,3520,2.47,0.0,0.0,100
8423600,686620,3528,2.47,0.0,0.0,100
8423600,686620,3536,2.47,0.0,0.0,100
8423600,686620,3544,2.47,0.0,0.0,100
8423600,686620,3552,2.47,0.0,0.0,100
8423600,686620,3560,2.47,0.0,0.0,100
8423600,686620,3568,2.47,0.0,0.0,100
8424260,686455,3320,2.47,0.0,0.0,100
8424260,686455,3328,2.47,0.0,0.0,100
8424260,686455,3336,2.47,0.0,0.0,100
8424260,686455,3344,2.47,0.0,0.0,100
8424260,686455,3352,2.47,0.0,0.0,100
8424260,686455,3360,2.47,0.0,0.0,100
8424260,686455,3368,2.47,0.0,0.0,100
8424260,686455,3376,2.47,0.0,0.0,100
8424260,686455,3384,2.47,0.0,0.0,100
8424260,686455,3392,2.47,0.0,0.0,100
8424260,686455,3400,2.47,0.0,0.0,100
8424260,686455,3408,2.47,0.0,0.0,100
8424260,686455,3416,2.47,0.0,0.0,100
8424260,686455,3424,2.47,0.0,0.0,100
8424260,686455,3432,2.47,0.0,0.0,100
8424260,686455,3440,2.47,0.0,0.0,100
8424260,686455,3448,2.47,0.0,0.0,100
8424260,686455,3456,2.47,0.0,0.0,100
8424260,686455,3464,2.47,0.0,0.0,100
8424260,686455,3472,2.47,0.0,0.0,100
8424260,686455,3480,2.47,0.0,0.0,100
8424260,686455,3488,2.47,0.0,0.0,100
8424260,686455,3496,2.47,0.0,0.0,100
8424260,686455,3504,2.47,0.0,0.0,100
8424260,686455,3512,2.47,0.0,0.0,100
8424260,686455,3520,2.47,0.0,0.0,100
8424260,686455,3528,2.47,0.0,0.0,100
8424260,686455,3536,2.47,0.0,0.0,100
8424260,686455,3544,2.47,0.0,0.0,100
8424260,686455,3552,2.47,0.0,0.0,100
8424260,686455,3560,2.47,0.0,0.0,100
8424260,686455,3568,2.47,0.0,0.0,100
8424260,686455,3576,2.47,0.0,0.0,100
8424260,686455,3584,2.47,0.0,0.0,100
8424260,686455,3592,2.47,0.0,0.0,100
8424260,686455,3600,2.47,0.0,0.0,100
8424260,686455,3608,2.47,0.0,0.0,100
8424260,686455,3616,2.47,0.0,0.0,100
8424260,686455,3624,2.47,0.0,0.0,100
8424260,686455,3632,2.47,0.0,0.0,100
8424260,686455,3640,2.47,0.0,0.0,100
8424260,686455,3648,2.47,0.0,0.0,100
8424260,686455,3656,2.47,0.0,0.0,100
8424260,686455,3664,2.47,0.0,0.0,100
8424260,686455,3672,2.47,0.0,0.0,100
8424260,686455,3680,2.47,0.0,0.0,100
8424260,686455,3688,2.47,0.0,0.0,100
8424260,686455,3696,2.47,0.0,0.0,100
8424260,686455,3704,2.47,0.0,0.0,100
8423360,686470,3320,2.47,0.0,0.0,100
8423360,686470,3328,2.47,0.0,0.0,100
8423360,686470,3336,2.47,0.0,0.0,100
8423360,686470,3344,2.47,0.0,0.0,100
8423360,686470,3352,2.47,0.0,0.0,100
8423360,686470,3360,2.47,0.0,0.0,100
8423360,686470,3368,2.47,0.0,0.0,100
8423360,686470,3376,2.47,0.0,0.0,100
8423360,686470,3384,2.47,0.0,0.0,100
8423360,686470,3392,2.47,0.0,0.0,100
8423360,686470,3400,2.47,0.0,0.0,100
8423360,686470,3408,2.47,0.0,0.0,100
8423360,686470,3416,2.47,0.0,0.0,100
8423360,686470,3424,2.47,0.0,0.0,100
8423360,686470,3432,2.47,0.0,0.0,100
8423360,686470,3440,2.47,0.0,0.0,100
8423360,686470,3448,2.47,0.0,0.0,100
8423360,686470,3456,2.47,0.0,0.0,100
8423360,686470,3464,2.47,0.0,0.0,100
8423360,686470,3472,2.47,0.0,0.0,100
8423360,686470,3480,2.47,0.0,0.0,100
8423360,686470,3488,2.47,0.0,0.0,100
8423015,686515,3320,2.47,0.0,0.0,100
8423015,686515,3328,2.47,0.0,0.0,100
8423015,686515,3336,2.47,0.0,0.0,100
8423015,686515,3344,2.47,0.0,0.0,100
8423015,686515,3352,2.47,0.0,0.0,100
8423015,686515,3360,2.47,0.0,0.0,100
8423015,686515,3368,2.47,0.0,0.0,100
8423015,686515,3376,2.47,0.0,0.0,100
8423015,686515,3384,2.47,0.0,0.0,100
8423015,686515,3392,2.47,0.0,0.0,100
8423015,686515,3400,2.47,0.0,0.0,100
8423015,686515,3408,2.47,0.0,0.0,100
8423015,686515,3416,2.47,0.0,0.0,100
8423015,686515,3424,2.47,0.0,0.0,100
8423015,686515,3432,2.47,0.0,0.0,100
8423015,686515,3440,2.47,0.0,0.0,100
8423015,686515,3448,2.47,0.0,0.0,100
8423015,686515,3456,2.47,0.0,0.0,100
8423015,686515,3464,2.47,0.0,0.0,100
8423015,686515,3472,2.47,0.0,0.0,100
8423015,686515,3480,2.47,0.0,0.0,100
8423015,686515,3488,2.47,0.0,0.0,100
8423015,686515,3496,2.47,0.0,0.0,100
8423015,686515,3504,2.47,0.0,0.0,100
8423015,686515,3512,2.47,0.0,0.0,100
8423015,686515,3520,2.47,0.0,0.0,100
8423015,686515,3528,2.47,0.0,0.0,100
8423015,686515,3536,2.47,0.0,0.0,100
8423015,686515,3544,2.47,0.0,0.0,100
8424380,686005,3320,2.47,0.0,0.0,100
8424380,686005,3328,2.47,0.0,0.0,100
8424380,686005,3336,2.47,0.0,0.0,100
8424380,686005,3344,2.47,0.0,0.0,100
8424380,686005,3352,2.47,0.0,0.0,100
8424380,686005,3360,2.47,0.0,0.0,100
8424380,686005,3368,2.47,0.0,0.0,100
8424380,686005,3376,2.47,0.0,0.0,100
8424380,686005,3384,2.47,0.0,0.0,100
8424380,686005,3392,2.47,0.0,0.0,100
8424380,686005,3400,2.47,0.0,0.0,100
8424380,686005,3408,2.47,0.0,0.0,100
8424380,686005,3416,2.47,0.0,0.0,100
8424380,686005,3424,2.47,0.0,0.0,100
8424380,686005,3432,2.47,0.0,0.0,100
8424380,686005,3440,2.47,0.0,0.0,100
8424380,686005,3448,2.47,0.0,0.0,100
8424380,686005,3456,2.47,0.0,0.0,100
8424380,686005,3464,2.47,0.0,0.0,100
8424380,686005,3472,2.47,0.0,0.0,100
8424380,686005,3480,2.47,0.0,0.0,100
8424380,686005,3488,2.47,0.0,0.0,100
8424380,686005,3496,2.47,0.0,0.0,100
8424380,686005,3504,2.47,0.0,0.0,100
8424380,686005,3512,2.47,0.0,0.0,100
8424380,686005,3520,2.47,0.0,0.0,100
8424380,686005,3528,2.47,0.0,0.0,100
8424380,686005,3536,2.47,0.0,0.0,100
8424380,686005,3544,2.47,0.0,0.0,100
8424380,686005,3552,2.47,0.0,0.0,100
8424380,686005,3560,2.47,0.0,0.0,100
